#Full OTU Counts																																																																																																	
#OTU ID	aR1	aR2	aR3	aR4	aR5	aR6	aR7	aR8	aS1	aS2	aS3	aS4	aS5	aS6	aS7	aS8	aSN1	aSN2	aSN3	aSN4	aSN5	aSN6	aSN7	aSN8	bR1	bR2	bR3	bR4	bR5	bR6	bR7	bR8	bS1	bS2	bS3	bS4	bS5	bS6	bS7	bS8	bSN1	bSN2	bSN3	bSN4	bSN5	bSN6	bSN7	bSN8	cR1	cR2	cR3	cR4	cR5	cR6	cR7	cR8	cS1	cS2	cS3	cS4	cS5	cS6	cS7	cS8	cSN1	cSN2	cSN3	cSN4	cSN5	cSN6	cSN7	cSN8	ctrlR1	ctrlR2	ctrlR3	ctrlR4	ctrlR5	ctrlR6	ctrlR7	ctrlR8	ctrlS1	ctrlS2	ctrlS3	ctrlS4	ctrlS5	ctrlS6	ctrlS7	ctrlS8	ctrlSN1	ctrlSN2	ctrlSN3	ctrlSN4	ctrlSN5	ctrlSN6	ctrlSN7	ctrlSN8	taxonomy
4	375	652	324	624	121	105	519	128	216	865	534	164	648	494	366	1346	497	289	2329	640	1134	616	366	1087	761	449	338	171	200	148	144	177	102	747	162	1469	220	126	1191	228	643	1047	498	123	1646	1165	2037	2486	95	46	613	94	685	515	11	158	1337	427	2345	517	858	889	1389	410	1975	490	87	1398	2802	261	1301	1095	548	488	122	1007	183	99	765	211	1400	482	824	779	1459	0	418	659	856	71	525	347	1272	2346	1906	58	"k__Fungi;p__Basidiomycota;"
7	0	59	37	134	0	0	0	0	1097	1544	1520	112	466	402	718	1231	0	188	857	486	110	590	0	1359	0	0	26	72	67	0	0	24	680	2151	567	1349	665	173	1188	601	0	470	347	25	890	81	1581	0	468	0	241	77	0	28	0	0	706	983	1299	412	840	1618	154	832	26	0	0	174	275	198	444	1034	0	0	0	0	17	0	0	11	872	2462	425	966	2005	0	578	2817	523	150	411	264	1812	413	388	221	"k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Spizellomycetales;f__Spizellomycetaceae;g__Triparticalcar;"
8	204	137	202	291	90	104	177	124	655	663	340	142	414	403	394	862	591	178	952	387	907	1075	136	489	143	238	123	132	121	97	67	187	0	484	417	745	378	210	549	248	1211	868	573	352	724	587	240	968	145	95	247	105	219	131	42	207	586	229	651	303	545	634	490	354	614	210	106	548	686	232	668	377	146	139	124	331	132	116	137	115	705	757	436	253	586	0	334	462	393	133	227	235	804	872	706	252	"k__Fungi;p__Zygomycota;c__Mucoromycotina_cls_Incertae_sedis;o__Mucorales;f__Umbelopsidaceae;g__Umbelopsis;"
9	357	275	370	433	311	224	682	111	529	849	193	81	520	389	528	142	0	0	0	139	268	0	0	745	407	552	514	127	168	69	168	610	222	210	295	317	116	27	499	272	0	0	1013	0	0	0	0	0	699	251	528	398	573	1088	84	129	409	239	1487	531	796	1204	604	0	0	0	29	99	0	0	0	0	590	298	409	1242	478	374	1400	377	604	803	376	160	93	0	134	189	679	64	0	21	502	449	69	0	"k__Fungi;p__Basidiomycota;c__Agaricomycetes;"
10	123	76	99	129	64	68	97	91	213	174	111	0	0	139	122	288	553	0	821	241	448	1009	0	460	202	91	102	88	62	62	39	69	0	160	100	201	146	37	226	0	636	1099	559	338	837	866	359	1506	120	44	193	112	155	140	0	96	195	57	158	113	178	227	183	185	912	89	172	399	312	432	955	731	0	113	40	0	0	59	109	36	194	240	214	163	245	0	116	161	211	119	399	283	831	721	776	422	"k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;"
12	253	132	148	336	81	127	224	99	217	218	0	48	144	111	0	277	183	0	499	0	395	644	0	262	111	170	159	150	98	90	108	163	0	140	107	205	114	0	240	56	314	435	273	72	389	497	220	820	155	78	280	109	172	217	0	110	159	100	204	58	186	238	179	113	301	128	108	374	358	182	438	337	0	104	0	234	0	143	0	113	232	292	247	126	157	0	188	207	147	116	171	250	486	570	281	0	"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;"
13	32	15	32	114	1957	0	70	0	298	405	206	43	1343	188	0	0	0	86	531	136	436	538	61	249	37	18	35	0	20	0	0	798	0	121	67	317	83	0	355	130	156	312	135	0	513	308	165	425	27	12	97	0	51	38	0	0	265	104	359	68	328	311	197	115	151	52	0	232	353	121	344	175	0	19	0	0	0	0	0	33	324	354	211	78	142	0	110	175	283	37	200	96	418	482	247	69	"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiomycetes_ord_Incertae_sedis;f__Myxotrichaceae;g__Oidiodendron;"
15	0	0	0	0	0	0	26	0	191	0	0	0	0	0	0	152	0	0	402	0	444	369	0	0	30	0	50	0	0	0	0	0	0	297	319	266	290	0	1112	89	720	740	48	88	212	979	35	1478	15	0	0	0	0	6	0	0	239	0	90	0	143	0	0	42	0	0	171	102	0	341	0	0	0	16	0	66	21	0	0	0	389	305	482	226	285	0	542	316	0	264	342	355	260	316	613	185	"k__Fungi;"
16	177	102	81	237	54	139	182	87	0	189	106	0	101	84	0	0	124	67	338	116	294	363	44	161	97	153	82	115	79	58	57	173	0	157	74	384	87	25	173	29	201	406	142	52	366	242	83	308	99	55	220	57	138	148	0	122	115	52	185	35	92	146	106	43	155	71	58	219	245	85	204	156	110	100	84	237	98	60	147	61	217	246	234	144	158	0	92	139	101	67	180	152	347	334	286	124	"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellales_fam_Incertae_sedis;g__Cryptococcus(f__Tremellales_fam_Incertae_sedis);"
17	30	0	0	0	0	40	0	0	182	64	775	0	0	0	0	10	696	0	0	0	0	0	37	0	0	0	60	8	0	0	0	5	247	34	302	309	57	441	743	0	0	0	352	0	0	733	0	0	5	0	0	0	12	0	0	0	21	183	845	260	30	0	0	97	0	0	0	552	0	0	0	0	0	0	0	137	0	0	0	0	1816	93	216	0	1365	0	0	632	748	100	36	221	346	48	0	112	"k__Fungi;p__Basidiomycota;"
