#Full OTU Counts																																																					
#OTU ID	ago1.27-2-RACINE	ago1.27-3-RACINE	ago1.27-5-RACINE	ago1.27-6-RACINE	ago1.27-B-SOL	ago1.27-C-SOL	ago1.27-D-SOL	ago1.27-E-SOL	dcl1.2-1-RACINE	dcl1.2-3-SOL	dcl1.2-3b-RACINE	dcl1.2-4-SOL	dcl1.2-B-RACINE	dcl1.2-C-RACINE	dcl1.2-D-SOL	dcl1.2-E-SOL	hen1.4-3-RACINE	hen1.4-5b-RACINE	hen1.4-6-RACINE	hen1.4-6b-RACINE	hen1.4-B-SOL	hen1.4-C-SOL	hen1.4-D-SOL	hen1.4-E-SOL	RTL1.1-RACINE	RTL1.2-RACINE	RTL1.3-RACINE	RTL1.7-RACINE	RTL1.B-SOL	RTL1.D-SOL	RTL1.Db-SOL	RTL1.E-SOL	RTL1myc.1-RACINE	RTL1myc.3-RACINE	RTL1myc.4-RACINE	RTL1myc.6-RACINE	RTL1myc.A-SOL	RTL1myc.C-SOL	RTL1myc.D-SOL	RTL1myc.E-SOL	SOL.CTRL-A-SOL	SOL.CTRL-C-SOL	SOL.CTRL-D-SOL	SOL.CTRL-E-SOL	WTdu14.1-RACINE	WTdu14.1-SOL	WTdu14.2-RACINE	WTdu14.3-SOL	WTdu6.5-1-RACINE	WTdu6.5-2-RACINE	WTdu6.5-B-SOL	WTdu6.5-C-SOL	taxonomy
1	6340	0	6179	12173	4445	1568	1422	4769	12296	4267	8922	15639	733	599	995	2889	8615	3618	16602	3026	569	443	1598	3246	21098	11406	11075	7520	911	879	2691	1205	17610	9742	18384	5921	4173	4301	3258	2670	0	0	0	0	4018	0	19531	231	10434	4451	1132	168	"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Chrysomelidae;g__Phaedon;"
4	0	0	0	0	0	0	0	0	981	0	779	1570	0	0	0	387	2558	1005	4765	877	214	0	0	873	3884	2222	3846	1685	0	318	528	214	2441	1850	3040	1128	699	717	552	382	0	0	0	0	821	0	2509	0	2187	1003	0	0	"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Chrysomelidae;g__Phaedon;"
6	2575	211	1082	2070	3519	2331	303	819	107	0	21	0	0	0	32	0	0	0	0	0	0	0	0	0	140	87	295	123	0	60	16	60	1959	3248	548	0	37	47	3405	3889	1313	0	353	0	0	0	27	0	3109	1143	1522	438	"k__Bacteria;"
7	53	0	136	253	1802	414	537	849	186	0	160	354	3124	267	446	1869	33	0	133	20	256	59	0	620	66	273	322	0	1142	2419	241	283	128	178	251	640	686	976	2433	709	77	69	560	0	32	296	298	80	41	0	300	145	"k__Viridiplantae;p__Chlorophyta;c__Prasinophyceae;o__Pseudoscourfieldiales;f__Pycnococcaceae;g__Nephroselmis;"
9	0	0	0	0	0	0	0	321	337	62	0	331	5965	1528	1581	3648	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	99	0	0	282	0	119	0	0	95	0	0	0	933	187	103	0	0	0	0	"k__Bacteria;p__Proteobacteria;"
10	0	0	0	0	0	0	0	0	0	120	48	93	535	885	848	460	0	0	0	0	0	0	0	98	1257	122	97	30	1077	1096	6906	734	0	0	0	0	0	0	0	0	0	0	0	0	34	88	14	0	0	0	0	0	"k__Bacteria;"
12	0	61	201	539	1615	1722	203	1073	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	285	240	432	333	111	539	340	412	98	96	23	185	539	1616	1500	95	0	0	1099	25	0	0	0	0	0	0	0	0	"k__Bacteria;"
13	255	0	0	293	0	0	242	359	1255	0	275	362	251	318	431	696	0	49	0	0	896	0	0	2102	67	148	41	76	0	235	0	0	182	0	277	32	476	0	0	428	0	0	91	0	0	0	0	0	936	393	1358	267	"k__Bacteria;"
15	116	0	0	24	202	0	0	294	106	148	232	252	225	323	148	480	969	590	341	110	966	344	695	1459	105	471	108	446	255	94	55	279	0	36	118	0	28	0	0	68	47	0	0	0	29	0	0	0	0	0	0	0	"k__Bacteria;"
16	467	0	148	255	11	0	91	550	224	47	35	282	73	0	0	12	848	410	977	378	67	29	0	311	354	226	287	188	78	9	128	126	95	0	129	69	0	0	0	35	0	26	0	0	185	0	132	42	1867	371	78	0	"k__Bacteria;"
